Symbol,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,coinMarketCapLink,regularMarketPrice,preMarketPrice,logo_url,trailingPegRatio
DOW,48674,Basic Materials,35700,"Dow Inc. provides various materials science solutions for packaging, infrastructure, mobility, and consumer applications in the United States, Canada, Europe, the Middle East, Africa, India, the Asia Pacific, and Latin America. It operates through Packaging & Specialty Plastics, Industrial Intermediates & Infrastructure, and Performance Materials & Coatings segments. The Packaging & Specialty Plastics segment provides ethylene, and propylene and aromatics products; and polyethylene, polyolefin elastomers, ethylene vinyl acetate, and ethylene propylene diene monomer rubbers. The Industrial Intermediates & Infrastructure segment offers ethylene oxides, propylene oxides, propylene glycol and polyether polyols, aromatic isocyanates and polyurethane systems, coatings, adhesives, sealants, elastomers, and composites. This segment also provides caustic soda, and ethylene dichloride and vinyl chloride monomers; and cellulose ethers, redispersible latex powders, and acrylic emulsions. The Performance Materials and Coatings segment provides architectural paints and coatings, and industrial coatings that are used in maintenance and protective industries, wood, metal packaging, traffic markings, thermal paper, and leather; performance silicones and specialty materials; and silicone feedstocks and intermediates. It also engages in property and casualty insurance, as well as reinsurance business. Dow Inc. was incorporated in 2018 and is headquartered in Midland, Michigan.",Midland,989 636 1000,MI,United States,[],https://www.dow.com,1,2211 H.H. Dow Way,Chemicals,0.19089001,0.11058,0.18958999,8753000448,0.128,0.14547,11477999616,44,hold,10777000000,4490874880,55,44.77,-0.1,1.636,0.088240005,23,54.91,77.172,0.37577,70,2703000064,15054000128,60129001472,3.764,USD,81.725,0.767,2.9,NYQ,Dow Inc.,Dow Inc.,America/New_York,EDT,False,-14400000,EQUITY,DOW,finmb_9830660,us_market,,0.752,,3.937,-0.2119345,,6.05,,718166976,,,,26.419,15532648,0.0216,,1640908800,0.67588997,6615000064,8.71,0.7,-0.15654653,1.6946137,0.0012899999,1703980800,,1656547200,2.82,1659052800,716838867,1.334336,45188173824,2,,,,,1661817600,,-0.126,0.5347226,1661904000,-1.06,,7.3999996,,0.0217,13274660,0,,,44.98,45.28,58.3997,0.062249888,0.3139,,45.55,,6884710,44.98,51.4452,2.8,45.28,,6884710,,,2.8,1661817600,,,44.75,USD,5.140069,4559280,,,,32152336384,,,5958576,44.75,0,1000,4559280,71.86,,,44.75,0,False,0.0622,900,45.55,,44.77,,https://logo.clearbit.com/dow.com,
GS,10282,Financial Services,47000,"The Goldman Sachs Group, Inc., a financial institution, provides a range of financial services for corporations, financial institutions, governments, and individuals worldwide. It operates through four segments: Investment Banking, Global Markets, Asset Management, and Consumer & Wealth Management. The company's Investment Banking segment provides financial advisory services, including strategic advisory assignments related to mergers and acquisitions, divestitures, corporate defense activities, restructurings, and spin-offs; and middle-market lending, relationship lending, and acquisition financing, as well as transaction banking services. This segment also offers underwriting services, such as equity underwriting for common and preferred stock and convertible and exchangeable securities; and debt underwriting for various types of debt instruments, including investment-grade and high-yield debt, bank and bridge loans, and emerging-and growth-market debt, as well as originates structured securities. Its Global Markets segment is involved in client execution activities for cash and derivative instruments; credit and interest rate products; and provision of equity intermediation and equity financing, clearing, settlement, and custody services, as well as mortgages, currencies, commodities, and equities related products. The company's Asset Management segment manages assets across various classes, including equity, fixed income, hedge funds, credit funds, private equity, real estate, currencies, and commodities; and provides customized investment advisory solutions, as well as invests in corporate, real estate, and infrastructure entities. Its Consumer & Wealth Management segment offers wealth advisory and banking services, including financial planning, investment management, deposit taking, and lending; private banking; and unsecured loans, as well as accepts saving and time deposits. The company was founded in 1869 and is headquartered in New York, New York.",New York,212-902-1000,NY,United States,[],https://www.goldmansachs.com,1,200 West Street,Capital Markets,0,0.32819,0.86642,1159000064,-0.277,0.41619,,293,buy,52699000000,,380,312.92,-0.485,1.637,0.010829999,25,387.96,507.364,0.1456,511,1035404967936,602316996608,49296998400,3181.728,USD,140.748,1.555,2.3,NYQ,"Goldman Sachs Group, Inc. (The)","The Goldman Sachs Group, Inc.",America/New_York,EDT,False,-14400000,EQUITY,GS,finmb_398625,us_market,,-6.434,,,-0.19938594,,38.49,,341356000,,,,328.707,5013207,0.0147,,1640908800,0.71062,15664000000,44.28,2.5,-0.15654653,0.9519725,0.00555,1703980800,,1656547200,2.78,1659052800,323612886,1.364362,-317174841344,2,,,,,1661904000,,-0.466,2.166808,1661904000,-1.16,,8.129904,,0.0148,5245849,0,,,320.71,322.32,335.67175,0.024944656,0.1807,,323.385,,1889660,320.71,331.918,8,322.32,,1889660,,,10,1661904000,,,311.2,USD,7.066848,2171094,,,,106817126400,,,2160347,311.2,0,800,2171094,426.16,,1.77,277.84,0,False,0.0312,900,323.385,,312.92,,https://logo.clearbit.com/goldmansachs.com,
HD,30339,Consumer Cyclical,500000,"The Home Depot, Inc. operates as a home improvement retailer. It operates The Home Depot stores that sell various building materials, home improvement products, lawn and garden products, and décor products, as well as facilities maintenance, repair, and operations products The company also offers installation services for flooring, cabinets and cabinet makeovers, countertops, furnaces and central air systems, and windows. In addition, it provides tool and equipment rental services. The company primarily serves homeowners; and professional renovators/remodelers, general contractors, maintenance professionals, handymen, property managers, building service contractors, and specialty tradesmen, such as electricians, plumbers, and painters. It also sells its products through websites, including homedepot.com; blinds.com, an online site for custom window coverings; and thecompanystore.com, an online site for textiles and décor products. As of December 31, 2021, the company operated 2,317 stores in the United States. The Home Depot, Inc. was incorporated in 1978 and is based in Atlanta, Georgia.",Atlanta,770 433 8211,GA,United States,[],https://www.homedepot.com,1,2455 Paces Ferry Road,Home Improvement Retail,0.17355,0.10877,0.33530998,13806000128,0.065,0.15474,26941999104,282,buy,50832000000,8183249920,352.5,269.14,0.115,1.183,0.20482999,30,354.97,20213.502,14.6444,470,1259000064,47906000896,155239006208,1.23,USD,149.989,0.179,2.1,NYQ,"Home Depot, Inc. (The)","The Home Depot, Inc.",America/New_York,EDT,False,-14400000,EQUITY,HD,finmb_278679,us_market,,2.091,,12.05,-0.20252454,,17.35,,1023729984,,,,0.231,7599560,0.0074,,1643500800,0.71129996,16885000192,16.28,1.9,-0.15654653,1165.1083,0.00084,1706572800,,1659225600,2.28,1659052800,1022518446,0.992409,324660396032,2,,946598400,3:2,,1661904000,,0.076,1.7748549,1661904000,1.03,,15.512392,,0.0074,7968575,0,,,271.57,271.22,321.67636,0.027064845,0.4361,,271.22,,4149730,271.57,299.4072,7.35,271.22,,4149730,,,7.6,1661904000,,,267.85,USD,16.53194,3212259,,,,275526713344,,,3362390,267.85,0,900,3212259,420.61,,2.15,264.51,0,False,0.027999999,800,271.22,,269.14,,https://logo.clearbit.com/homedepot.com,1.4111
HON,28202,Industrials,99000,"Honeywell International Inc. operates as a diversified technology and manufacturing company worldwide. Its Aerospace segment offers auxiliary power units, propulsion engines, integrated avionics, environmental control and electric power systems, engine controls, flight safety, communications, navigation hardware, data and software applications, radar and surveillance systems, aircraft lighting, advanced systems and instruments, satellite and space components, and aircraft wheels and brakes; spare parts; repair, overhaul, and maintenance services; thermal systems, as well as wireless connectivity and management services. The company's Honeywell Building Technologies segment offers software applications for building control and optimization; sensors, switches, control systems, and instruments for energy management; access control; video surveillance; fire products; and installation, maintenance, and upgrades of systems. Its Performance Materials and Technologies segment offers automation control, instrumentation, and software and related services; catalysts and adsorbents, equipment, and consulting; and materials to manufacture end products, such as bullet-resistant armor, nylon, computer chips, and pharmaceutical packaging, as well as provides reduced and low global-warming-potential materials based on hydrofluoro-olefin technology. The company's Safety and Productivity Solutions segment provides personal protection equipment, apparel, gear, and footwear; gas detection technology; cloud-based notification and emergency messaging; mobile devices and software; supply chain and warehouse automation equipment, and software solutions; custom-engineered sensors, switches, and controls; and data and asset management productivity software solutions. The company was founded in 1906 and is headquartered in Charlotte, North Carolina.",Charlotte,704 627 6200,NC,United States,[],https://www.honeywell.com,1,855 South Mint Street,Conglomerates,0.24304001,0.14741999,0.32087,4607000064,0.016,0.20813,8375000064,183,buy,10998000000,3413125120,203.5,173.25,-0.098,1.196,0.071040004,24,205.08,110.32,0.28083,226,8659000320,20074999808,34459000832,12.853,USD,50.254,0.831,2.3,NMS,Honeywell International Inc.,Honeywell International Inc.,America/New_York,EDT,False,-14400000,EQUITY,HON,finmb_1340740,us_market,,3.737,,15.378,-0.20958984,,9.68,,673692032,,,,26.037,5671515,0.0084,,1640908800,0.75724,5080000000,7.33,0.98,-0.15654653,6.653992,0.0011999999,1703980800,,1656547200,2.63,1659052800,640176124,1.077906,128789192704,2,,1540771200,1032:1000,,1660176000,,-0.118,3.3871307,1661904000,2.12,,17.897726,,0.0084,5149942,0,,,174.3,173.54,192.525,0.022203097,0.528,,174.74,,3496650,174.3,188.416,3.87,173.54,,3496650,,,3.92,1660176000,,,172.02,USD,23.635744,2229980,,,,116717142016,,,2560341,172.02,0,800,2229980,228.26,,1.95,167.35,0,False,0.0226,1100,174.74,,173.25,,https://logo.clearbit.com/honeywell.com,1.6221
IBM,10504,Technology,282100,"International Business Machines Corporation provides integrated solutions and services worldwide. The company operates through four business segments: Software, Consulting, Infrastructure, and Financing. The Software segment offers hybrid cloud platform and software solutions, such as Red Hat, an enterprise open-source solutions; software for business automation, AIOps and management, integration, and application servers; data and artificial intelligence solutions; and security software and services for threat, data, and identity. This segment also provides transaction processing software that supports clients' mission-critical and on-premise workloads in banking, airlines, and retail industries. The Consulting segment offers business transformation services, including strategy, business process design and operations, data and analytics, and system integration services; technology consulting services; and application and cloud platform services. The Infrastructure segment provides on-premises and cloud-based server and storage solutions for its clients' mission-critical and regulated workloads; and support services and solutions for hybrid cloud infrastructure, as well as remanufacturing and remarketing services for used equipment. The Financing segment offers lease, installment payment, loan financing, and short-term working capital financing services. The company was formerly known as Computing-Tabulating-Recording Co. International Business Machines Corporation was incorporated in 1911 and is headquartered in Armonk, New York.",Armonk,914 499 1900,NY,United States,[],https://www.ibm.com,1,One New Orchard Road,Information Technology Services,0.20374,0.09363,0.54011,9825999872,0.093,0.11046,12158999552,115,buy,31486000000,6312374784,145,125.31,0.041,0.876,0.03004,17,143.03,274.055,0.2709,163,7558000128,53375000576,59679997952,8.368,USD,66.383,0.675,2.5,NYQ,International Business Machines,International Business Machines Corporation,America/New_York,EDT,False,-14400000,EQUITY,IBM,finmb_112350,us_market,,2.659,,13.054,-0.046663344,,10.05,,896320000,,,,21.49,23817990,0.026400002,,1640908800,0.57676,5626999808,6.089,1.65,-0.15654653,5.8310843,0.00093000004,1703980800,,1656547200,7.08,1659052800,901626883,0.843787,158718328832,2,,1635984000,1046:1000,,1660003200,,0.051,1.8820018,1661904000,1.39,,12.468657,,0.026400002,23111989,,,,124.93,124.76,132.099,0.052669495,1.0580001,,126.51,,4465320,124.93,131.0774,6.58,124.76,,4465320,,,6.6,1660003200,,,124.41,USD,20.579733,4046373,,,,112317857792,,,4691239,124.41,0,900,4046373,144.73,,4.76,114.56,0,False,0.052800003,900,126.51,,125.31,,https://logo.clearbit.com/ibm.com,1.5798
INTC,95054-1549,Technology,121100,"Intel Corporation engages in the design, manufacture, and sale of computer products and technologies worldwide. The company operates through CCG, DCG, IOTG, Mobileye, NSG, PSG, and All Other segments. It offers platform products, such as central processing units and chipsets, and system-on-chip and multichip packages; and non-platform or adjacent products, including accelerators, boards and systems, connectivity products, graphics, and memory and storage products. The company also provides high-performance compute solutions for targeted verticals and embedded applications for retail, industrial, and healthcare markets; and solutions for assisted and autonomous driving comprising compute platforms, computer vision and machine learning-based sensing, mapping and localization, driving policy, and active sensors. In addition, it offers workload-optimized platforms and related products for cloud service providers, enterprise and government, and communications service providers. The company serves original equipment manufacturers, original design manufacturers, and cloud service providers. Intel Corporation has a strategic partnership with MILA to develop and apply advances in artificial intelligence methods for enhancing the search in the space of drugs. The company was incorporated in 1968 and is headquartered in Santa Clara, California.",Santa Clara,408 765 8080,CA,United States,[],https://www.intel.com,1,2200 Mission College Boulevard,Semiconductors,0.34515998,0.26031,0.49848998,22542000128,-0.22,0.17446,25333000192,20,hold,43815000000,2844124928,35.5,28.07,,1.859,0.049239997,34,37.8,35.004,0.20496,72,27043999744,35429998592,73394003968,6.586,USD,17.989,1.234,3.1,NMS,Intel Corporation,Intel Corporation,America/New_York,EDT,False,-14400000,EQUITY,INTC,finmb_21127,us_market,,1.707,,4.945,-0.48229438,,2.63,,4105999872,,,,24.651,56409605,0.0137,,1640390400,0.64017,19104999424,4.66,0.365,-0.15654653,1.1386962,0.00063,1703462400,,1656720000,1.44,1659052800,4102099300,0.650019,125283819520,2,,965001600,2:1,,1659571200,,,1.5703655,1661904000,-78,,10.673003,,0.0137,66959836,0,,,28.47,28.4,43.47715,0.050052688,0.3058,,28.5,,43747440,28.47,34.4724,1.425,28.4,,43747440,,,1.46,1667520000,,,28.04,USD,6.0236053,35518603,,,,115255418880,,,39511866,28.04,0,3000,35518603,56.28,,2.55,28.04,0,False,0.0513,900,28.5,,28.07,28.06,https://logo.clearbit.com/intel.com,3.5372
JNJ,08933,Healthcare,141700,"Johnson & Johnson, together with its subsidiaries, researches and develops, manufactures, and sells various products in the healthcare field worldwide. The company's Consumer Health segment offers baby care products under the JOHNSON'S and AVEENO Baby brands; oral care products under the LISTERINE brand; skin health/beauty products under the AVEENO, CLEAN & CLEAR, DR. CI:LABO, NEUTROGENA, and OGX brands; TYLENOL acetaminophen products; SUDAFED cold, flu, and allergy products; BENADRYL and ZYRTEC allergy products; MOTRIN IB ibuprofen products; NICORETTE smoking cessation products; and PEPCID acid reflux products. It also offers STAYFREE and CAREFREE sanitary pads; o.b. tampons; adhesive bandages under the BAND-AID brand; and first aid products under the NEOSPORIN brand. It serves general public, retail outlets, and distributors. The company's Pharmaceutical segment offers products for rheumatoid arthritis, psoriatic arthritis, inflammatory bowel disease, and psoriasis; HIV/AIDS and COVID-19 infectious diseases; mood disorders, neurodegenerative disorders, and schizophrenia; prostate cancer, hematologic malignancies, lung cancer, and bladder cancer; thrombosis, diabetes and macular degeneration; and pulmonary arterial hypertension. This segment serves retailers, wholesalers, distributors, hospitals, and healthcare professionals directly for prescription use. Its MedTech segment provides electrophysiology products to treat cardiovascular diseases; neurovascular care products to treat hemorrhagic and ischemic stroke; orthopaedics products in support of hips, knees, trauma, spine, sports, and other; advanced and general surgery solutions that focus on breast aesthetics, ear, nose, and throat procedures; and disposable contact lenses and ophthalmic products related to cataract and laser refractive surgery under the ACUVUE brand. This segment serves wholesalers, hospitals, and retailers. The company was founded in 1886 and is based in New Brunswick, New Jersey.",New Brunswick,732 524 0400,NJ,United States,[],https://www.jnj.com,1,One Johnson & Johnson Plaza,Drug Manufacturers—General,0.33877,0.19214001,0.6795,23581999104,0.03,0.26376,32381999104,165,buy,64020000000,22485499904,187,166.18,-0.234,1.424,0.08898,19,187.52,42.69,0.2517,215,32568000512,32597000192,95587999744,12.387,USD,36.334,1.087,2.4,NYQ,Johnson & Johnson,Johnson & Johnson,America/New_York,EDT,False,-14400000,EQUITY,JNJ,finmb_139677,us_market,,4.491,,13.258,0.011073232,,10.58,,2629179904,,,,29.044,12185258,0.0046,,1641081600,0.70733,18365999104,6.87,1.13,-0.15654653,5.7216635,0.00099,1704153600,,1656806400,1.78,1659052800,2625998587,0.606472,429321486336,2,,992390400,2:1,,1661126400,,-0.233,4.5708365,1661904000,4.05,,15.706994,,0.0046,11879849,0,,,163.28,163.15,172.355,0.026396373,0.62740004,,167.16,,8551750,163.28,168.3216,4.31,163.15,,8551750,,,4.52,1661126400,,,162.83,USD,24.189228,7150856,,,,436917108736,,,6840609,162.83,0,800,7150856,186.69,,2.58,155.72,0,False,0.0277,800,167.16,,166.18,,https://logo.clearbit.com/jnj.com,3.6709
JPM,10179,Financial Services,278494,"JPMorgan Chase & Co. operates as a financial services company worldwide. It operates through four segments: Consumer & Community Banking (CCB), Corporate & Investment Bank (CIB), Commercial Banking (CB), and Asset & Wealth Management (AWM). The CCB segment offers s deposit, investment and lending products, payments, and services to consumers; lending, deposit, and cash management and payment solutions to small businesses; mortgage origination and servicing activities; residential mortgages and home equity loans; and credit card, auto loan, and leasing services. The CIB segment provides investment banking products and services, including corporate strategy and structure advisory, and equity and debt markets capital-raising services, as well as loan origination and syndication; payments and cross-border financing; and cash and derivative instruments, risk management solutions, prime brokerage, and research. This segment also offers securities services, including custody, fund accounting and administration, and securities lending products for asset managers, insurance companies, and public and private investment funds. The CB segment provides financial solutions, including lending, payments, investment banking, and asset management to small business, large and midsized companies, local governments, and nonprofit clients; and commercial real estate banking services to investors, developers, and owners of multifamily, office, retail, industrial, and affordable housing properties. The AWM segment offers multi-asset investment management solutions in equities, fixed income, alternatives, and money market funds to institutional clients and retail investors; and retirement products and services, brokerage, custody, trusts and estates, loans, mortgages, deposits, and investment management products. The company also provides ATM, online and mobile, and telephone banking services. JPMorgan Chase & Co. was founded in 1799 and is headquartered in New York, New York.",New York,212 270 6000,NY,United States,[],https://www.jpmorganchase.com,1,383 Madison Avenue,Banks—Diversified,0,0.32358003,0,132526997504,-0.096,0.39891,,117,buy,130898000000,,135,111.21,-0.27,,0.010369999,24,136.63,,0.1363,165,1429592997888,640735969280,120579997696,487.488,USD,40.479,,2.3,NYQ,JP Morgan Chase & Co.,JPMorgan Chase & Co.,America/New_York,EDT,False,-14400000,EQUITY,JPM,finmb_658776,us_market,,-3.534,,,-0.31789744,,12.63,,2932570112,,,,86.376,20192388,0.0069,,1640908800,0.70718,37196001280,12.47,1,-0.15654653,1.2875104,0.00932,1703980800,,1656547200,1.8,1659052800,2905387444,1.089892,-426133946368,2,,960768000,3:2,,1656979200,,-0.276,2.7046866,1661904000,8.08,,8.805225,,0.0069,16582866,0,,,112.49,113.38,131.94685,0.035558715,0.3208,,113.6,,10793440,112.49,115.9756,4,113.38,,10793440,,,4,1664928000,,,111.07,USD,8.918203,11199452,,,,326131122176,,,11439531,111.07,0,800,11199452,172.96,,2.64,106.06,0,False,0.0356,800,113.6,,111.21,,https://logo.clearbit.com/jpmorganchase.com,
KO,30313,Consumer Defensive,79000,"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide. The company provides sparkling soft drinks; flavored and enhanced water, and sports drinks; juice, dairy, and plantbased beverages; tea and coffee; and energy drinks. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers, such as restaurants and convenience stores. The company sells its products under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, Fanta, Fresca, Schweppes, Sprite, Thums Up, Aquarius, Ciel, dogadan, Dasani, glacéau smartwater, glacéau vitaminwater, Ice Dew, I LOHAS, Powerade, Topo Chico, AdeS, Del Valle, fairlife, innocent, Minute Maid, Minute Maid Pulpy, Simply, Ayataka, BODYARMOR, Costa, FUZE TEA, Georgia, and Gold Peak brands. It operates through a network of independent bottling partners, distributors, wholesalers, and retailers, as well as through bottling and distribution operators. The company was founded in 1886 and is headquartered in Atlanta, Georgia.",Atlanta,404 676 2121,GA,United States,[],https://www.coca-colacompany.com,1,One Coca-Cola Plaza,Beverages—Non-Alcoholic,0.32012,0.23162001,0.58894,11646000128,0.118,0.28746998,13228000256,63,buy,23298000000,7478499840,70,59.26,-0.279,1.127,0.080979995,22,69.8,172.628,0.39211,76,11619000320,42816999424,41322000384,2.687,USD,9.553,0.785,2.1,NYQ,Coca-Cola Company (The),The Coca-Cola Company,America/New_York,EDT,False,-14400000,EQUITY,KO,finmb_26642,us_market,,7.015,,21.914,0.0996474,,2.6,,4324630016,,,,5.318,26862720,0.0062,,1640908800,0.7133,9571000320,2.2,0.44,-0.15654653,11.143287,0.00661,1703980800,,1656633600,2.77,1659052800,3894458310,0.544546,289878966272,2,,1344816000,2:1,,1663200000,,-0.279,6.201964,1661904000,4.36,,22.792309,,0.0063,26732776,0,,,59.4,59.55,61.8669,0.028956229,0.78180003,,59.73,,13864120,59.4,62.6026,1.72,59.55,,13864120,,,1.76,1663200000,,,59.2,USD,26.936363,11353675,,,,256277561344,,,12345795,59.2,0,3000,11353675,67.2,,3.14,52.28,0,False,0.0296,3000,59.73,,59.26,59.3,https://logo.clearbit.com/coca-colacompany.com,3.3389
MCD,60607,Consumer Cyclical,100000,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. Its restaurants offer hamburgers and cheeseburgers, chicken sandwiches and nuggets, wraps, fries, salads, oatmeal, shakes, desserts, sundaes, soft serve cones, bakery items, soft drinks, coffee, and beverages and other beverages, as well as breakfast menu, including biscuit and bagel sandwiches, breakfast burritos, hotcakes, and other sandwiches. As of December 31, 2021, the company operated 40,031 restaurants. McDonald's Corporation was founded in 1940 and is headquartered in Chicago, Illinois.",Chicago,630 623 3000,IL,United States,[],https://corporate.mcdonalds.com,1,110 North Carpenter Street,Restaurants,0.5116,0.25773,0.55287,8035700224,-0.029,0.43138,12070899712,250,buy,12580200000,5407974912,285,247.94,-0.458,1.414,0.12579,33,282.88,,,328,1938599936,47646400512,23594399744,2.635,USD,31.747,1.085,2,NYQ,McDonald's Corporation,McDonald's Corporation,America/New_York,EDT,False,-14400000,EQUITY,MCD,finmb_139488,us_market,,9.766,,19.09,0.0061683655,,10.59,,735716992,,,,-8.658,5651733,0.0077,,1640908800,0.69777,6081099776,8.12,1.38,-0.15654653,,0.0017,1703980800,,1656547200,2.7,1659052800,734687267,0.570115,230431686656,2,,920851200,2:1,,1661904000,,-0.465,7.7312274,1661904000,3.55,,23.412653,,0.0077,6071707,0,,,251.08,255.13,252.02115,0.021626573,0.66870004,,250.43,,2522700,251.08,258.1852,5.43,255.13,,2522700,,,5.52,1661904000,,,247.65,USD,30.534483,2154022,,,,182413672448,,,2366314,247.65,0,900,2154022,271.15,,2.3,217.68,0,False,0.022,1000,250.43,,247.94,,https://logo.clearbit.com/corporate.mcdonalds.com,3.3585
